iter	Passed	Remaining
0	131	131463
1	132	66087
2	133	44269
3	134	33436
4	135	26883
5	135	22494
6	136	19354
7	137	16993
8	137	15147
9	138	13678
10	138	12467
11	139	11457
12	139	10602
13	140	9871
14	140	9234
15	141	8682
16	141	8193
17	142	7761
18	142	7373
19	143	7023
20	143	6704
21	144	6416
22	144	6152
23	145	5909
24	145	5687
25	146	5500
26	147	5331
27	148	5165
28	149	5006
29	150	4855
30	150	4714
31	151	4578
32	151	4451
33	152	4330
34	152	4216
35	153	4108
36	153	4006
37	154	3908
38	154	3816
39	155	3728
40	155	3645
41	156	3568
42	156	3492
43	157	3421
44	157	3352
45	158	3286
46	159	3224
47	159	3164
48	160	3105
49	160	3050
50	161	2999
51	161	2951
52	162	2907
53	163	2866
54	164	2820
55	164	2778
56	165	2736
57	165	2695
58	166	2656
59	167	2616
60	167	2578
61	167	2541
62	168	2505
63	168	2470
64	169	2436
65	169	2403
66	170	2371
67	170	2337
68	171	2308
69	171	2279
70	172	2250
71	172	2223
72	172	2196
73	173	2170
74	173	2145
75	174	2120
76	174	2096
77	175	2074
78	176	2054
79	176	2035
80	177	2016
81	178	1996
82	178	1977
83	179	1957
84	179	1936
85	180	1917
86	180	1896
87	181	1878
88	181	1860
89	182	1842
90	182	1825
91	183	1808
92	183	1791
93	184	1775
94	184	1759
95	185	1743
96	185	1728
97	186	1713
98	186	1698
99	187	1684
100	187	1669
101	187	1653
102	188	1640
103	188	1626
104	189	1613
105	189	1600
106	190	1587
107	191	1577
108	192	1571
109	193	1564
110	194	1553
111	194	1542
112	195	1532
113	195	1520
114	196	1509
115	196	1498
116	197	1487
117	197	1477
118	198	1465
119	198	1455
120	199	1445
121	199	1435
122	199	1424
123	200	1414
124	200	1405
125	201	1396
126	201	1387
127	202	1376
128	202	1368
129	203	1359
130	203	1350
131	204	1341
132	204	1333
133	204	1324
134	205	1316
135	206	1310
136	207	1305
137	207	1298
138	208	1292
139	209	1284
140	209	1277
141	210	1270
142	210	1263
143	211	1255
144	211	1248
145	212	1241
146	212	1234
147	213	1227
148	213	1220
149	214	1213
150	214	1206
151	215	1199
152	215	1193
153	216	1186
154	216	1180
155	216	1173
156	217	1167
157	217	1161
158	218	1155
159	219	1150
160	219	1144
161	220	1138
162	220	1133
163	221	1129
164	222	1124
165	223	1121
166	223	1116
167	224	1111
168	225	1106
169	225	1101
170	226	1096
171	226	1090
172	227	1085
173	227	1080
174	228	1075
175	228	1070
176	229	1065
177	229	1060
178	230	1055
179	230	1050
180	230	1044
181	231	1039
182	231	1035
183	232	1030
184	232	1025
185	233	1020
186	233	1016
187	234	1011
188	234	1007
189	235	1002
190	236	1000
191	237	1000
192	238	998
193	239	994
194	239	990
195	240	986
196	240	981
197	241	977
198	241	973
199	242	969
200	242	964
201	243	960
202	243	956
203	244	952
204	244	948
205	245	944
206	245	940
207	246	937
208	246	933
209	247	929
210	247	925
211	247	921
212	248	918
213	248	914
214	249	910
215	249	907
216	250	903
217	251	900
218	252	899
219	252	896
220	253	894
221	254	890
222	254	888
223	255	884
224	255	881
225	256	877
226	256	874
227	257	871
228	257	867
229	258	864
230	258	861
231	259	858
232	259	854
233	260	851
234	260	848
235	261	845
236	261	842
237	262	838
238	262	835
239	262	832
240	263	830
241	264	827
242	264	824
243	264	821
244	265	818
245	266	816
246	267	815
247	268	815
248	269	812
249	269	809
250	270	807
251	271	804
252	271	801
253	271	798
254	272	796
255	272	793
256	273	790
257	273	787
258	274	785
259	274	782
260	275	779
261	275	776
262	276	774
263	276	771
264	277	769
265	277	766
266	278	763
267	278	761
268	279	758
269	279	756
270	280	753
271	280	751
272	281	749
273	282	747
274	282	745
275	283	743
276	284	741
277	284	739
278	285	737
279	285	735
280	286	732
281	286	730
282	287	727
283	287	725
284	288	723
285	288	720
286	289	718
287	289	716
288	290	713
289	290	711
290	291	709
291	291	707
292	292	705
293	292	702
294	293	700
295	293	698
296	294	696
297	294	694
298	295	691
299	295	689
300	296	688
301	297	687
302	297	685
303	298	683
304	299	681
305	299	679
306	300	677
307	300	675
308	301	673
309	301	671
310	302	669
311	302	667
312	303	665
313	303	663
314	304	661
315	304	659
316	305	657
317	305	655
318	305	653
319	306	651
320	306	649
321	307	647
